id,símbolo,nombre,precio_usd,market_cap_usd,volumen_24h_usd,variación_24h_pct
aave-polygon-aave,amaave,Aave Polygon AAVE,284.51,0.0,0.0,3.49975
3-kingdoms-multiverse,3km,3 Kingdoms Multiverse,8.91e-06,0.0,6664.3,
advanced-united-continent,auc,Advanced United Continent,0.0003121,0.0,130893.0,49.98266
ageofgods,aog,AgeOfGods,0.00148259,0.0,215710.0,-0.36287
airbtc,airbtc,AirBTC,6.0004e-08,0.0,77.78,-7.70174
1rus-btc25,@btc25,@BTC25,4.13542e-10,0.0,1134.68,-5.43864
0xnumber,oxn,0xNumber,0.00292507,0.0,29.15,
aave-v3-usdt,ausdt,Aave v3 USDT,1.0,0.0,21877370.0,-0.011
aave-zrx,azrx,Aave ZRX,0.223989,0.0,0.0,2.65931
aave-amm-uniwbtcusdc,aammuniwbtcusdc,Aave AMM UniWBTCUSDC,121214632849711.0,0.0,0.0,0.62903
aave-dai-v1,adai,Aave DAI v1,1.001,0.0,16.39,0.25468
aave-amm-wbtc,aammwbtc,Aave AMM WBTC,109028.0,0.0,0.0,1.28728
aave-v3-ageur,aageur,Aave v3 agEUR,1.18,0.0,0.0,0.56449
aave-usdt-v1,ausdt,Aave USDT v1,1.001,0.0,0.0,0.24675
airpuff,apuff,Airpuff,0.00342872,0.0,46161.0,16.82275
airdao-bridged-usdc-airdao,usdc,AirDAO bridged USDC (AirDAO),0.999901,0.0,413.94,0.00955
aave-v3-aave,aaave,Aave v3 AAVE,284.64,0.0,22.87,3.05839
aave-v3-usdc,ausdc,Aave v3 USDC,0.999865,0.0,0.089292,-0.0015
aave-v3-frax,afrax,Aave v3 FRAX,0.998659,0.0,0.0,-0.03639
aave-v3-rpl,arpl,Aave v3 RPL,5.13,0.0,0.0,-0.0131
aave-amm-usdc,aammusdc,Aave AMM USDC,0.999231,0.0,0.0,0.08628
adult-playground,adult,Adult Playground,0.00024844,0.0,25.02,
aave-enj,aenj,Aave ENJ,0.066949,0.0,0.0,3.3639
aave-amm-uniusdcweth,aammuniusdcweth,Aave AMM UniUSDCWETH,266177029.0,0.0,0.0,1.66478
aave-knc-v1,aknc,Aave KNC v1,0.288521,0.0,0.0,-1.87016
a7a5,a7a5,A7A5,0.01270276,0.0,656.33,1.38395
aivalanche-defai-agents,avaxai,AIvalanche DeFAI Agents,0.00015985,0.0,322595.0,-27.62165
aave-yfi,ayfi,Aave YFI,5168.23,0.0,0.0,2.28289
aark-digital,aark,Aark Digital,0.00184519,0.0,379788.0,-1.63671
aave-polygon-wbtc,amwbtc,Aave Polygon WBTC,107527.0,0.0,0.0,0.16078
aave-interest-bearing-steth,asteth,Aave Interest Bearing STETH,2517.47,0.0,0.0,3.35195
aave-mkr,amkr,Aave MKR,1993.5,0.0,0.0,1.08794
3a-lending-protocol,a3a,3A,0.0001362,0.0,11.6,-0.11408
