id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,narrativa
daosol,daosol,daoSOL,https://coin-images.coingecko.com/coins/images/25488/large/logo_%284%29.png?1696524621,176.98,0.0,,10485974.0,639.16,178.5,168.6,6.21,3.63795,0.0,0.0,0.0,59255.0,200000.0,2396.03,-92.62459,2023-11-16T05:45:07.725Z,0.0007973,22164292.98691,2022-08-27T22:24:16.252Z,,2025-07-02T18:38:45.394Z,Otra
angryb,anb,Angryb,https://coin-images.coingecko.com/coins/images/17270/large/AngryBlockchain.png?1696516825,6.50842e-07,0.0,,505934.0,1033.62,6.53862e-07,6.16532e-07,2.7157e-08,4.35424,0.0,0.0,0.0,777700000000.0,777700000000.0,0.00109062,-99.94037,2021-07-26T02:44:17.229Z,4.86585e-07,33.648,2025-04-09T01:29:42.650Z,,2025-07-02T18:39:45.374Z,Otra
animalia,anim,Animalia,https://coin-images.coingecko.com/coins/images/22706/large/1_rHlkmYoebSJ_wn0iE_-d-g_2x.png?1696522016,0.00054844,0.0,,59616.0,1.74,,,,,,,0.0,108700000.0,108700000.0,0.325148,-99.83133,2024-02-23T11:00:26.597Z,0.00054667,0.32432,2025-06-29T02:20:06.041Z,,2025-06-29T20:57:01.238Z,Otra
ducker,ducker,Ducker,https://coin-images.coingecko.com/coins/images/30816/large/Ducker_Logo_200x200.png?1696529672,6.59498e-07,0.0,,45783.0,220.63,6.60165e-07,6.10971e-07,4.0605e-08,6.56085,0.0,0.0,0.0,69420911007.0,69420911007.0,3.211e-05,-97.94629,2023-06-26T16:11:25.264Z,4.31482e-07,52.84504,2025-04-07T06:58:52.604Z,,2025-07-02T18:31:35.127Z,Otra
haycoin,hay,HayCoin,https://coin-images.coingecko.com/coins/images/32336/large/haycoin.jpeg?1698308493,75383.0,0.0,,75218069936.0,61.39,75656.0,69638.0,4620.32,6.52932,0.0,0.0,0.0,999999.5,,5314332.0,-98.58297,2023-10-26T02:35:42.900Z,39475.0,90.76561,2025-05-01T16:48:19.928Z,,2025-07-02T18:41:16.350Z,Memes
1rus-btc25,@btc25,@BTC25,https://coin-images.coingecko.com/coins/images/38584/large/photo_2024-03-04_12-32-04_%282%29.png?1718088255,4.13003e-10,0.0,,173720.0,110.6,4.14704e-10,3.95104e-10,1.1898e-11,2.96636,0.0,0.0,0.0,420689996314947.0,420689996314947.0,8.923e-09,-95.36728,2024-12-14T18:14:45.627Z,2.67099e-10,54.75853,2025-05-29T04:36:09.735Z,,2025-07-02T18:39:27.466Z,Memes
electroswap,bolt,ElectroSwap,https://coin-images.coingecko.com/coins/images/54787/large/bolt.jpg?1741576480,0.00502511,0.0,,503432.0,4548.7,0.00531273,0.00475199,-7.8611876578857e-05,-1.54029,0.0,0.0,0.0,100000000.0,100000000.0,0.00784348,-35.93468,2025-06-12T09:27:12.857Z,0.00192113,161.56284,2025-04-05T03:52:25.826Z,,2025-07-02T18:40:04.263Z,Otra
fusotao,tao,Fusotao,https://coin-images.coingecko.com/coins/images/26743/large/a4JTO1De_400x400.jpeg?1696525812,0.00024584,0.0,,,0.0,0.00024584,0.00024584,0.0,0.0,0.0,0.0,0.0,,,0.908993,-99.97295,2022-08-11T10:24:56.897Z,0.00015937,54.25875,2025-04-08T23:30:17.151Z,,2025-07-02T18:41:15.207Z,Otra
cloudcoin-finance,ccfi,CloudCoin Finance,https://coin-images.coingecko.com/coins/images/31304/large/ccfi_token_alpha_v2_1880x1880px_72dpi_small.png?1696530123,3.756e-05,0.0,,53638.0,6564.34,3.756e-05,3.754e-05,1.0231e-08,0.02725,0.0,0.0,0.0,1428160512.0,1428160512.0,0.00036545,-89.72348,2024-04-16T13:19:07.289Z,4.16e-06,802.86264,2024-03-19T20:00:18.778Z,,2025-07-02T18:39:34.076Z,Otra
hillstone,hsf,Hillstone Finance,https://coin-images.coingecko.com/coins/images/22335/large/logo_-_2022-01-07T094430.368.png?1696521679,0.00943574,0.0,,943574.0,0.549932,,,,,,,0.0,100000000.0,100000000.0,7.22,-99.8694,2022-01-22T06:47:40.507Z,0.00157051,500.80667,2025-04-24T02:34:23.987Z,,2025-06-26T03:38:12.380Z,Otra
cherry-network,cher,Cherry Network,https://coin-images.coingecko.com/coins/images/21855/large/cherry.PNG?1696521209,0.00040078,0.0,,240468.0,58195.0,0.00041151,0.00039418,-1.064542309395e-05,-2.58744,0.0,0.0,0.0,600000000.0,,0.505475,-99.92024,2022-01-01T14:58:04.758Z,0.00038795,3.92091,2025-06-30T13:00:46.376Z,,2025-07-02T18:39:03.318Z,Otra
capybara-token,capy,Capybara Token,https://coin-images.coingecko.com/coins/images/30223/large/capylogo.png?1696529133,5.19e-06,0.0,,358364.0,9.42,5.2e-06,5.09e-06,6.494e-08,1.26619,0.0,0.0,0.0,69000000000.0,69000000000.0,0.00019563,-97.3451,2023-05-09T17:10:56.315Z,8.99247e-07,477.5591,2023-10-02T06:55:41.481Z,,2025-07-02T05:41:31.324Z,Otra
capybara,capy,Capybara,https://coin-images.coingecko.com/coins/images/22000/large/logo_-_2021-12-27T143844.581.png?1696521347,0.00046613,0.0,,466127.0,5.0,,,,,,,0.0,1000000000.0,1000000000.0,0.01915212,-97.56619,2024-11-22T22:17:35.471Z,5.455e-05,754.48197,2023-05-12T08:35:46.740Z,,2025-06-26T11:10:59.657Z,Otra
chewy,chwy,CHEWY,https://coin-images.coingecko.com/coins/images/38974/large/1000.jpg?1719714158,1.134e-12,0.0,,47711.0,117.02,1.143e-12,1.103e-12,2.3322e-14,2.09996,0.0,0.0,0.0,4.2069e+16,4.2069e+16,1.93337e-10,-99.4164,2024-07-01T13:33:49.940Z,6.89768e-13,63.5802,2025-03-01T01:10:58.013Z,,2025-07-02T18:40:34.619Z,Otra
aave-v3-ageur,aageur,Aave v3 agEUR,https://coin-images.coingecko.com/coins/images/32925/large/eur.png?1699826217,1.18,0.0,,,0.0,1.18,1.17,0.00219,0.18595,0.0,0.0,0.0,,,1.18,-0.26974,2025-07-01T09:35:10.920Z,1.018,15.80661,2025-01-13T09:35:11.774Z,,2025-07-02T18:35:10.969Z,Otra
aave-usdt-v1,ausdt,Aave USDT v1,https://coin-images.coingecko.com/coins/images/11725/large/aUSDT.png?1696511607,1.0,0.0,,11616765.0,0.0,1.008,0.993025,0.00259021,0.25963,0.0,0.0,0.0,11618840.0,,100.21,-99.00281,2020-06-26T13:27:00.909Z,0.660155,51.37192,2025-03-01T13:50:06.287Z,,2025-07-02T18:40:02.127Z,Otra
aave-v3-aave,aaave,Aave v3 AAVE,https://coin-images.coingecko.com/coins/images/32887/large/aave.png?1699773604,276.97,0.0,,,22.87,282.87,258.65,11.91,4.49419,0.0,0.0,0.0,,,398.77,-30.5432,2024-12-16T20:45:09.116Z,72.3,283.0752,2024-07-05T03:15:36.612Z,,2025-07-02T18:40:04.018Z,Otra
aave-v3-frax,afrax,Aave v3 FRAX,https://coin-images.coingecko.com/coins/images/32904/large/FRAX.png?1699802848,0.999082,0.0,,,0.0,0.999082,0.998515,0.00043884,0.04394,0.0,0.0,0.0,,,1.002,-0.26359,2024-01-02T00:50:13.297Z,0.988257,1.09532,2024-04-13T20:05:31.228Z,,2025-07-02T18:40:11.507Z,Otra
gtrok,gtrok,GTROK,https://coin-images.coingecko.com/coins/images/35643/large/20240229_144143.jpg?1709368626,4.0221e-11,0.0,,16920.43,50.34,,,,,,,0.0,420690000000000.0,,1.764e-09,-97.72013,2024-04-07T09:43:59.208Z,3.2646e-11,23.20403,2025-04-19T11:54:06.840Z,,2025-06-30T01:46:06.072Z,Otra
