id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
aave-polygon-aave,amaave,Aave Polygon AAVE,https://coin-images.coingecko.com/coins/images/17239/large/amAAVE_2x.png?1696516796,266.23,0.0,,858696.0,0.0,268.15,259.08,0.635335,0.23927,0.0,0.0,0.0,3225.345173409109,,470.81,-43.59833,2021-09-03T16:00:33.816Z,46.05,476.69651,2022-06-18T21:00:55.939Z,,2025-07-02T14:40:02.320Z
3-kingdoms-multiverse,3km,3 Kingdoms Multiverse,https://coin-images.coingecko.com/coins/images/29383/large/3KM_Logo.jpg?1696528330,8.91e-06,0.0,,89124.0,6664.3,,,,,,,0.0,10000000000.0,10000000000.0,0.072532,-99.98771,2023-03-30T07:38:28.876Z,6.52e-06,36.65055,2025-06-05T05:36:28.696Z,,2025-06-05T22:31:47.174Z
advanced-united-continent,auc,Advanced United Continent,https://coin-images.coingecko.com/coins/images/24369/large/200x200.png?1696523553,0.00031428,0.0,,1879806.0,161306.0,0.00031438,0.00030249,7.72e-06,2.51986,0.0,0.0,0.0,6000000000.0,,49.93,-99.99937,2022-05-06T23:09:08.473Z,0.00010573,197.24611,2025-06-16T04:24:37.246Z,,2025-07-02T14:40:52.749Z
ageofgods,aog,AgeOfGods,https://coin-images.coingecko.com/coins/images/22133/large/aog.PNG?1696521479,0.00145653,0.0,,393256.0,215564.0,0.00147993,0.00144294,-2.3287144045745e-05,-1.57365,0.0,0.0,0.0,270000000.0,270000000.0,1.12,-99.86978,2022-01-05T18:10:31.864Z,0.00135747,7.29215,2025-05-06T14:10:00.403Z,,2025-07-02T14:40:39.690Z
airbtc,airbtc,AirBTC,https://coin-images.coingecko.com/coins/images/37369/large/photo_2024-04-21_01-29-59.jpg?1714117341,7.9091e-08,0.0,,16609.06,16.73,,,,,,,0.0,210000000000.0,210000000000.0,1.291e-05,-99.38716,2024-06-12T12:38:20.387Z,4.9799e-08,58.82066,2025-03-01T11:00:10.721Z,,2025-07-01T08:58:17.135Z
1rus-btc25,@btc25,@BTC25,https://coin-images.coingecko.com/coins/images/38584/large/photo_2024-03-04_12-32-04_%282%29.png?1718088255,4.07479e-10,0.0,,171422.0,514.06,4.08049e-10,3.78136e-10,2.247e-11,5.83618,0.0,0.0,0.0,420689996314947.0,420689996314947.0,8.923e-09,-95.43484,2024-12-14T18:14:45.627Z,2.67099e-10,52.5017,2025-05-29T04:36:09.735Z,,2025-07-02T14:39:24.391Z
0xnumber,oxn,0xNumber,https://coin-images.coingecko.com/coins/images/33870/large/200x200.png?1703131812,0.00294827,0.0,,29511.0,6.99,0.00295109,0.00293461,1.366e-05,0.46547,0.0,0.0,0.0,10000000.0,10000000.0,0.970458,-99.69688,2024-02-25T13:25:36.889Z,0.00177363,65.85264,2025-04-09T01:26:16.390Z,,2025-07-02T14:40:26.115Z
aave-v3-usdt,ausdt,Aave v3 USDT,https://coin-images.coingecko.com/coins/images/32884/large/USDT.PNG?1699768611,1.0,0.0,,,26703118.0,1.0,1.0,-6.9610000000164e-05,-0.00696,0.0,0.0,0.0,,,1.004,-0.32781,2024-01-03T12:15:19.331Z,0.99785,0.23655,2024-12-30T07:05:12.236Z,,2025-07-02T14:41:39.613Z
aave-amm-uniwbtcusdc,aammuniwbtcusdc,Aave AMM UniWBTCUSDC,https://coin-images.coingecko.com/coins/images/17255/large/aAmmUniWBTCUSDC.png?1696516811,120389935707101.0,0.0,,1700.16,0.0,120696555110370.0,118967291906224.0,601559857106.0,0.50231,0.0,0.0,0.0,1.412207e-11,,167448641827264.0,-28.05519,2025-06-10T10:45:19.643Z,32826283695800.0,266.99438,2022-11-22T10:00:10.174Z,,2025-07-02T14:35:13.465Z
aave-zrx,azrx,Aave ZRX,https://coin-images.coingecko.com/coins/images/14264/large/aZRX.9be555a9.png?1696513965,0.213756,0.0,,31034.0,0.0,0.213391,0.208496,0.00250976,1.18833,0.0,0.0,0.0,145180.0986485371,,2.38,-91.03446,2021-04-13T18:01:20.595Z,0.147544,44.48777,2023-01-01T05:00:03.182Z,,2025-07-02T14:40:14.544Z
