id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,narrativa
baby-shiba-inu,babyshibainu,Baby Shiba Inu,https://coin-images.coingecko.com/coins/images/16805/large/BabyShiba.png?1696516375,6.137e-09,0.0,,6136718.0,1177.28,6.146e-09,5.966e-09,1.61537e-10,2.70347,0.0,0.0,0.0,1000000000000000.0,1000000000000000.0,5.052e-08,-87.85948,2021-10-31T01:31:25.597Z,2.051e-12,298933.46981,2021-11-27T18:52:58.773Z,,2025-07-02 18:40:51.752000+00:00,Memes
wrapped-g,wg,Wrapped G,https://coin-images.coingecko.com/coins/images/51955/large/Gravity_Icon_Dark.png?1732238090,0.01165035,0.0,,843203.0,14802.88,0.01165005,0.01082351,0.00073354,6.71937,0.0,0.0,0.0,72376168.83255476,,0.04600982,-74.67857,2024-12-06T22:40:53.490Z,0.00998688,16.65652,2025-06-22T20:28:23.564Z,,2025-07-02 18:42:02.578000+00:00,Otra
doggensnout-skeptic,dogs,Doggensnout Skeptic,https://coin-images.coingecko.com/coins/images/35772/large/DOGGENSNOUT_LOGO.jpg?1731814406,8.08706e-10,0.0,,338292.0,55082.0,8.11721e-10,7.67925e-10,2.3816e-11,3.03435,0.0,0.0,0.0,420690000000000.0,420690000000000.0,1.7833e-08,-95.52902,2024-03-13T03:43:04.489Z,3.37704e-10,136.09532,2025-04-09T03:31:42.720Z,,2025-07-02 18:40:48.535000+00:00,Memes
xyxyx,xyxyx,Xyxyx,https://coin-images.coingecko.com/coins/images/35483/large/xyxyx_logo.png?1708850265,596.79,0.0,,76390.0,103.51,,,,,,,0.0,128.0,128.0,24673.0,-97.58121,2024-12-14T19:50:02.030Z,440.13,35.59595,2025-04-18T15:46:15.406Z,,2025-06-25 22:28:04.232000+00:00,Otra
lfgswap-finance,lfg,LFGSwap Finance,https://coin-images.coingecko.com/coins/images/27669/large/lfg.png?1696526697,2.335e-05,0.0,,23351.0,2.1,2.342e-05,2.186e-05,1.39e-06,6.3093,0.0,0.0,0.0,1000000000.0,,0.082288,-99.97156,2022-10-11T00:19:41.064Z,1.995e-05,17.32511,2025-06-22T20:25:38.485Z,,2025-07-02 18:36:07.249000+00:00,Otra
knightswap,knight,KnightSwap,https://coin-images.coingecko.com/coins/images/24132/large/knightswap.png?1696523323,0.00045928,0.0,,150485.0,397.81,0.00045978,0.00044934,9.63e-06,2.14069,0.0,0.0,0.0,328270237.41508,,0.584973,-99.92168,2022-04-14T00:39:02.490Z,0.00041073,11.53775,2025-03-11T00:58:28.110Z,,2025-07-02 18:42:21.929000+00:00,Otra
yes-money,yes,YES Money,https://coin-images.coingecko.com/coins/images/35657/large/yesIcon.png?1744186761,3.49,0.0,,73214092.0,6673.43,3.5,3.17,0.258828,8.01025,0.0,0.0,0.0,21000000.0,21000000.0,7.14,-51.21025,2024-03-03T21:57:58.352Z,1.85,88.1985,2025-04-07T07:02:20.880Z,,2025-07-02 18:41:38.600000+00:00,Otra
scaleton,dust,DeDust,https://coin-images.coingecko.com/coins/images/31226/large/Dust.jpg?1729842317,1.58,0.0,,26381941.0,27380.0,1.67,1.57,-0.0242488842306232,-1.51219,0.0,0.0,0.0,16683258.2397611,,8.19,-80.65975,2024-04-09T09:42:49.444Z,0.290086,445.7321,2023-08-18T19:45:44.339Z,,2025-07-02 18:42:21.249000+00:00,Otra
wrapped-usdc-caviarnine,xusdc,Instabridge Wrapped USDC (Radix),https://coin-images.coingecko.com/coins/images/34014/large/XUSDC.png?1703657933,0.99984,0.0,,299787.0,25178.0,0.999911,0.9998,1.884e-05,0.00188,0.0,0.0,0.0,299845.04,,1.039,-3.73512,2024-08-05T14:34:45.624Z,0.970585,3.01673,2024-08-05T01:25:13.140Z,,2025-07-02 18:38:17.862000+00:00,Otra
jungle-labz,jngl,Jungle Labz,https://coin-images.coingecko.com/coins/images/31742/large/Jungle.png?1696530561,0.06972,0.0,,700263.0,47093.0,0.070027,0.058116,0.00463595,7.12305,0.0,0.0,0.0,10000000.0,10000000.0,3.41,-97.95569,2024-01-19T00:42:43.763Z,0.04231321,64.52568,2024-09-18T19:50:10.402Z,,2025-07-02 18:41:41.603000+00:00,Otra
